Time,Temperature (°C),Humidity (%),Wind Speed (km/h),Analysis_Date
2025-04-21T00:00,25.2,66,5.1,2025-04-20
2025-04-21T01:00,25.0,68,3.6,2025-04-20
2025-04-21T02:00,24.8,70,2.6,2025-04-20
2025-04-21T03:00,24.5,72,1.8,2025-04-20
2025-04-21T04:00,24.1,74,2.0,2025-04-20
2025-04-21T05:00,23.7,76,2.4,2025-04-20
2025-04-21T06:00,23.3,78,2.2,2025-04-20
2025-04-21T07:00,23.3,78,2.7,2025-04-20
2025-04-21T08:00,24.6,69,2.8,2025-04-20
2025-04-21T09:00,26.9,55,1.0,2025-04-20
2025-04-21T10:00,29.2,41,2.3,2025-04-20
2025-04-21T11:00,31.5,32,4.1,2025-04-20
2025-04-21T12:00,33.6,24,6.9,2025-04-20
2025-04-21T13:00,35.0,19,11.1,2025-04-20
2025-04-21T14:00,35.2,17,14.5,2025-04-20
2025-04-21T15:00,35.0,16,15.1,2025-04-20
2025-04-21T16:00,34.8,16,14.5,2025-04-20
2025-04-21T17:00,33.7,20,14.5,2025-04-20
2025-04-21T18:00,31.8,27,12.4,2025-04-20
2025-04-21T19:00,30.0,34,9.3,2025-04-20
2025-04-21T20:00,28.5,45,8.4,2025-04-20
2025-04-21T21:00,27.4,50,9.2,2025-04-20
2025-04-21T22:00,26.5,59,8.0,2025-04-20
2025-04-21T23:00,25.8,65,5.8,2025-04-20
