Time,Temperature (°C),Humidity (%),Wind Speed (km/h),Analysis_Date
2025-03-28T00:00,21.6,78,8.0,2025-03-27
2025-03-28T01:00,21.5,78,5.8,2025-03-27
2025-03-28T02:00,21.1,82,5.4,2025-03-27
2025-03-28T03:00,21.0,86,5.9,2025-03-27
2025-03-28T04:00,20.8,88,4.5,2025-03-27
2025-03-28T05:00,20.6,89,2.6,2025-03-27
2025-03-28T06:00,20.5,90,1.3,2025-03-27
2025-03-28T07:00,20.5,91,1.6,2025-03-27
2025-03-28T08:00,21.2,89,3.4,2025-03-27
2025-03-28T09:00,23.0,75,5.6,2025-03-27
2025-03-28T10:00,25.0,53,5.5,2025-03-27
2025-03-28T11:00,27.0,39,2.4,2025-03-27
2025-03-28T12:00,28.7,34,1.4,2025-03-27
2025-03-28T13:00,29.9,32,5.8,2025-03-27
2025-03-28T14:00,30.1,36,11.8,2025-03-27
2025-03-28T15:00,28.8,48,17.6,2025-03-27
2025-03-28T16:00,27.9,44,17.6,2025-03-27
2025-03-28T17:00,27.0,52,16.7,2025-03-27
2025-03-28T18:00,25.9,53,14.8,2025-03-27
2025-03-28T19:00,24.4,67,12.0,2025-03-27
2025-03-28T20:00,23.6,72,9.4,2025-03-27
2025-03-28T21:00,23.1,75,8.8,2025-03-27
2025-03-28T22:00,22.8,77,5.9,2025-03-27
2025-03-28T23:00,22.5,79,4.6,2025-03-27
2025-03-28T00:00,21.6,78,8.0,2025-03-27
2025-03-28T01:00,21.5,78,5.8,2025-03-27
2025-03-28T02:00,21.1,82,5.4,2025-03-27
2025-03-28T03:00,21.0,86,5.9,2025-03-27
2025-03-28T04:00,20.8,88,4.5,2025-03-27
2025-03-28T05:00,20.6,89,2.6,2025-03-27
2025-03-28T06:00,20.5,90,1.3,2025-03-27
2025-03-28T07:00,20.5,91,1.6,2025-03-27
2025-03-28T08:00,21.2,89,3.4,2025-03-27
2025-03-28T09:00,23.0,75,5.6,2025-03-27
2025-03-28T10:00,25.0,53,5.5,2025-03-27
2025-03-28T11:00,27.0,39,2.4,2025-03-27
2025-03-28T12:00,28.7,34,1.4,2025-03-27
2025-03-28T13:00,29.9,32,5.8,2025-03-27
2025-03-28T14:00,30.1,36,11.8,2025-03-27
2025-03-28T15:00,28.8,48,17.6,2025-03-27
2025-03-28T16:00,27.9,44,17.6,2025-03-27
2025-03-28T17:00,27.0,52,16.7,2025-03-27
2025-03-28T18:00,25.9,53,14.8,2025-03-27
2025-03-28T19:00,24.4,67,12.0,2025-03-27
2025-03-28T20:00,23.6,72,9.4,2025-03-27
2025-03-28T21:00,23.1,75,8.8,2025-03-27
2025-03-28T22:00,22.8,77,5.9,2025-03-27
2025-03-28T23:00,22.5,79,4.6,2025-03-27
2025-03-28T00:00,21.6,78,8.0,2025-03-27
2025-03-28T01:00,21.5,78,5.8,2025-03-27
2025-03-28T02:00,21.1,82,5.4,2025-03-27
2025-03-28T03:00,21.0,86,5.9,2025-03-27
2025-03-28T04:00,20.8,88,4.5,2025-03-27
2025-03-28T05:00,20.6,89,2.6,2025-03-27
2025-03-28T06:00,20.5,90,1.3,2025-03-27
2025-03-28T07:00,20.5,91,1.6,2025-03-27
2025-03-28T08:00,21.2,89,3.4,2025-03-27
2025-03-28T09:00,23.0,75,5.6,2025-03-27
2025-03-28T10:00,25.0,53,5.5,2025-03-27
2025-03-28T11:00,27.0,39,2.4,2025-03-27
2025-03-28T12:00,28.7,34,1.4,2025-03-27
2025-03-28T13:00,29.9,32,5.8,2025-03-27
2025-03-28T14:00,30.1,36,11.8,2025-03-27
2025-03-28T15:00,28.8,48,17.6,2025-03-27
2025-03-28T16:00,27.9,44,17.6,2025-03-27
2025-03-28T17:00,27.0,52,16.7,2025-03-27
2025-03-28T18:00,25.9,53,14.8,2025-03-27
2025-03-28T19:00,24.4,67,12.0,2025-03-27
2025-03-28T20:00,23.6,72,9.4,2025-03-27
2025-03-28T21:00,23.1,75,8.8,2025-03-27
2025-03-28T22:00,22.8,77,5.9,2025-03-27
2025-03-28T23:00,22.5,79,4.6,2025-03-27
2025-03-28T00:00,21.6,78,8.0,2025-03-27
2025-03-28T01:00,21.5,78,5.8,2025-03-27
2025-03-28T02:00,21.1,82,5.4,2025-03-27
2025-03-28T03:00,21.0,86,5.9,2025-03-27
2025-03-28T04:00,20.8,88,4.5,2025-03-27
2025-03-28T05:00,20.6,89,2.6,2025-03-27
2025-03-28T06:00,20.5,90,1.3,2025-03-27
2025-03-28T07:00,20.5,91,1.6,2025-03-27
2025-03-28T08:00,21.2,89,3.4,2025-03-27
2025-03-28T09:00,23.0,75,5.6,2025-03-27
2025-03-28T10:00,25.0,53,5.5,2025-03-27
2025-03-28T11:00,27.0,39,2.4,2025-03-27
2025-03-28T12:00,28.7,34,1.4,2025-03-27
2025-03-28T13:00,29.9,32,5.8,2025-03-27
2025-03-28T14:00,30.1,36,11.8,2025-03-27
2025-03-28T15:00,28.8,48,17.6,2025-03-27
2025-03-28T16:00,27.9,44,17.6,2025-03-27
2025-03-28T17:00,27.0,52,16.7,2025-03-27
2025-03-28T18:00,25.9,53,14.8,2025-03-27
2025-03-28T19:00,24.4,67,12.0,2025-03-27
2025-03-28T20:00,23.6,72,9.4,2025-03-27
2025-03-28T21:00,23.1,75,8.8,2025-03-27
2025-03-28T22:00,22.8,77,5.9,2025-03-27
2025-03-28T23:00,22.5,79,4.6,2025-03-27
2025-03-28T00:00,21.6,78,8.0,2025-03-27
2025-03-28T01:00,21.5,78,5.8,2025-03-27
2025-03-28T02:00,21.1,82,5.4,2025-03-27
2025-03-28T03:00,21.0,86,5.9,2025-03-27
2025-03-28T04:00,20.8,88,4.5,2025-03-27
2025-03-28T05:00,20.6,89,2.6,2025-03-27
2025-03-28T06:00,20.5,90,1.3,2025-03-27
2025-03-28T07:00,20.5,91,1.6,2025-03-27
2025-03-28T08:00,21.2,89,3.4,2025-03-27
2025-03-28T09:00,23.0,75,5.6,2025-03-27
2025-03-28T10:00,25.0,53,5.5,2025-03-27
2025-03-28T11:00,27.0,39,2.4,2025-03-27
2025-03-28T12:00,28.7,34,1.4,2025-03-27
2025-03-28T13:00,29.9,32,5.8,2025-03-27
2025-03-28T14:00,30.1,36,11.8,2025-03-27
2025-03-28T15:00,28.8,48,17.6,2025-03-27
2025-03-28T16:00,27.9,44,17.6,2025-03-27
2025-03-28T17:00,27.0,52,16.7,2025-03-27
2025-03-28T18:00,25.9,53,14.8,2025-03-27
2025-03-28T19:00,24.4,67,12.0,2025-03-27
2025-03-28T20:00,23.6,72,9.4,2025-03-27
2025-03-28T21:00,23.1,75,8.8,2025-03-27
2025-03-28T22:00,22.8,77,5.9,2025-03-27
2025-03-28T23:00,22.5,79,4.6,2025-03-27
2025-03-28T00:00,21.6,78,8.0,2025-03-27
2025-03-28T01:00,21.5,78,5.8,2025-03-27
2025-03-28T02:00,21.1,82,5.4,2025-03-27
2025-03-28T03:00,21.0,86,5.9,2025-03-27
2025-03-28T04:00,20.8,88,4.5,2025-03-27
2025-03-28T05:00,20.6,89,2.6,2025-03-27
2025-03-28T06:00,20.5,90,1.3,2025-03-27
2025-03-28T07:00,20.5,91,1.6,2025-03-27
2025-03-28T08:00,21.2,89,3.4,2025-03-27
2025-03-28T09:00,23.0,75,5.6,2025-03-27
2025-03-28T10:00,25.0,53,5.5,2025-03-27
2025-03-28T11:00,27.0,39,2.4,2025-03-27
2025-03-28T12:00,28.7,34,1.4,2025-03-27
2025-03-28T13:00,29.9,32,5.8,2025-03-27
2025-03-28T14:00,30.1,36,11.8,2025-03-27
2025-03-28T15:00,28.8,48,17.6,2025-03-27
2025-03-28T16:00,27.9,44,17.6,2025-03-27
2025-03-28T17:00,27.0,52,16.7,2025-03-27
2025-03-28T18:00,25.9,53,14.8,2025-03-27
2025-03-28T19:00,24.4,67,12.0,2025-03-27
2025-03-28T20:00,23.6,72,9.4,2025-03-27
2025-03-28T21:00,23.1,75,8.8,2025-03-27
2025-03-28T22:00,22.8,77,5.9,2025-03-27
2025-03-28T23:00,22.5,79,4.6,2025-03-27
2025-03-28T00:00,21.6,78,6.5,2025-03-27
